ds,y
             2017 01 07,0.07775
             2017 01 07,0.03668
             2017 01 07,0.02626
             2017 01 07,0.02253
             2017 01 07,0.01584
             2017 01 04,0.12928
             2017 01 07,0.00557
             2017 01 04,0.01514
             2017 01 05,0.02055
             2017 01 05,0.0024
             2017 01 04,0.15615
             2017 01 04,0.02961
             2017 01 04,0.00372
             2017 01 05,0.00102
             2017 01 05,0.03631
             2017 01 05,0.05533
             2017 01 04,0.00598
             2017 01 04,0.01018
             2017 01 03,0.01166
             2017 01 05,0.00263
             2017 01 02,0.07168
             2017 01 02,0.02291
             2017 01 02,0.23098
             2017 01 03,0.00127
             2017 01 03,0.11157
             2017 01 02,0.02404
             2017 01 03,0.031
             2017 01 02,0.02141
             2017 01 02,0.07168
             2016 12 27,0.01127
             2016 12 30,0.0433
             2016 12 28,0.02059
             2016 12 27,0.0346
             2016 12 27,0.15122
             2016 12 22,0.06727
             2016 12 27,0.02366
             2016 12 27,0.00127
             2016 12 27,0.01938
             2016 12 23,0.05467
             2016 12 23,0.0352
             2016 12 24,0.08048
             2016 12 24,0.01111
             2016 12 23,0.02125
             2016 12 24,0.079
             2016 12 24,0.00918
             2016 12 23,0.03789
             2016 12 23,0.03727
             2016 12 23,0.03167
             2016 12 18,0.01256
             2016 12 18,0.01517
             2016 12 19,0.00252
             2016 12 19,0.01487
             2016 12 19,0.01898
             2016 12 18,0.00912
             2016 12 18,0.01098
             2016 12 18,0.03464
             2016 12 18,0.00101
             2016 12 09,0.13711
             2016 12 15,0.00348
             2016 12 09,0.02598
             2016 12 08,0.00355
             2016 12 05,0.04624
             2016 12 01,0.00043
             2016 12 09,0.0038
             2016 12 08,0.00434
             2016 12 07,0.02718
             2016 12 06,0.03257
             2016 12 07,0.01154
             2016 12 06,0.04458
             2016 12 06,0.07759
             2016 12 06,0.09386
             2016 12 06,0.00733
             2016 12 05,0.0219
             2016 12 05,0.01744
             2016 12 05,0.01153
             2016 12 05,0.03231
             2016 12 05,0.04999
             2016 12 04,0.04454
             2016 12 04,0.05222
             2016 12 04,0.12093
             2016 12 04,0.00094
             2016 12 04,0.02237
             2016 12 04,0.00623
             2016 12 01,0.10341
             2016 12 01,0.03879
             2016 12 01,0.02538
             2016 12 02,0.01011
             2016 12 01,0.01234
             2016 12 01,0.00817
             2016 12 01,0.0526
             2016 12 01,0.00324
             2016 12 01,0.01133
             2016 11 25,0.00283
             2016 11 19,0.17809
             2016 11 23,0.03678
             2016 11 27,0.07399
             2016 11 30,0.05804
             2016 11 25,0.01366
             2016 11 30,0.01113
             2016 11 29,0.07687
             2016 11 28,0.02366
             2016 11 28,0.06157
             2016 11 28,0.00464
             2016 11 27,0.16739
             2016 11 27,0.01247
             2016 11 26,0.05727
             2016 11 26,0.04024
             2016 11 24,0.10599
             2016 11 28,0.0282
             2016 11 27,0.01557
             2016 11 25,0.01146
             2016 11 26,0.01738
             2016 11 25,0.01309
             2016 11 25,0.06842
             2016 11 25,0.03164
             2016 11 24,0.11657
             2016 11 24,0.05453
             2016 11 23,0.19609
             2016 11 26,0.02895
             2016 11 25,0.00139
             2016 11 25,0.01902
             2016 11 25,0.01649
             2016 11 25,0.01675
             2016 11 24,0.01492
             2016 11 23,0.00994
             2016 11 24,0.195
             2016 11 24,0.01024
             2016 11 23,0.00215
             2016 11 23,0.15749
             2016 11 23,0.00388
             2016 11 23,0.05077
             2016 11 24,0.0004
             2016 11 23,0.00785
             2016 11 23,0.00353
             2016 11 20,0.00623
             2016 11 19,0.00811
             2016 11 19,0.21299
             2016 11 19,0.09021
             2016 11 19,0.0943
             2016 11 19,0.02993
             2016 11 20,0.0003
             2016 11 19,0.08644
             2016 11 19,0.16814
             2016 11 19,0.00588
             2016 11 19,0.009
             2016 11 19,0.04408
             2016 11 19,0.0003
             2016 11 18,0.00399
             2016 11 19,0.02467
             2016 11 19,0.02431
             2016 11 18,0.00173
             2016 11 18,0.00036
             2016 11 18,0.00949
             2016 11 18,0.05009
             2016 11 18,0.01423
             2016 11 19,0.00607
             2016 11 18,0.00158
             2016 11 18,0.00327
             2016 11 11,0.00042
             2016 11 06,0.00434
             2016 11 06,0.00587
             2016 11 05,0.01853
             2016 11 10,0.0071
             2016 11 11,0.01815
             2016 11 11,0.03323
             2016 11 10,0.01077
             2016 11 07,0.05057
             2016 11 10,0.0032
             2016 11 09,0.0438
             2016 11 06,0.20517
             2016 11 09,0.00166
             2016 11 09,0.00442
             2016 11 08,0.00963
             2016 11 08,0.0568
             2016 11 06,0.14925
             2016 11 08,0.03356
             2016 11 08,0.01583
